"id";"keyword";"jenis_akun";"sub_kategori";"sinonim"
29;"bayar gaji";"Beban";"Gaji";"[""gaji karyawan"", ""penggajian"", ""pembayaran gaji"", ""bayaran staf""]"
28;"gajian";"Pendapatan";"Gaji";"[""terima gaji"", ""menerima gaji"", ""honor"", ""upah"", ""salary"", ""bayaran"", ""dapat gaji"", ""gaji masuk"", ""penghasilan""]"
30;"listrik";"Beban";"Listrik";"[""pln"", ""tagihan listrik"", ""bayar pln"", ""token""]"
31;"transport";"Beban";"Transportasi";"[""ojek"", ""taksi"", ""gojek"", ""grab"", ""angkot"", ""bbm"", ""bensin"", ""solar""]"
32;"makan";"Beban";"Makan/Minum";"[""makanan"", ""minum"", ""kuliner"", ""jajan"", ""kopi"", ""ngopi"", ""snack"", ""makanku"", ""makan siang"", ""makan malam""]"
33;"laptop";"Aset";"Peralatan";"[""leptop"", ""komputer"", ""pc"", ""notebook"", ""macbook""]"
34;"meja";"Aset";"Peralatan";"[""kursi"", ""lemari"", ""rak"", ""perabot"", ""furniture""]"
35;"tanah";"Aset";"Tanah";"[""lahan"", ""kavling"", ""properti"", ""aset tetap""]"
36;"utang";"Kewajiban";"Utang Dagang";"[""hutang"", ""tanggungan"", ""tunggakan"", ""kewajiban""]"
37;"jual";"Pendapatan";"Penjualan";"[""menjual"", ""penjualan"", ""hasil jual"", ""pemasukan""]"
38;"bunga bank";"Pendapatan";"Bunga Bank";"[""bunga"", ""bunga tabungan"", ""bunga deposito""]"
39;"investasi";"Aset";"Saham";"[""saham"", ""reksadana"", ""obligasi""]"
40;"saldo";"Aset";"Kas";"[""uang"", ""tabungan"", ""kas"", ""balance""]"
41;"kas";"Aset";"Kas";"[""uang kas"", ""saldo kas"", ""tunai"", ""cash""]"
42;"freelance";"Pendapatan";"Jasa";"[""proyek"", ""project"", ""klien"", ""fee"", ""komisi"", ""bonus""]"
43;"wifi";"Beban";"Komunikasi";"[""internet"", ""data"", ""paket data"", ""indihome"", ""myrepublic""]"
44;"sewa";"Beban";"Sewa";"[""kos"", ""kontrakan"", ""rent"", ""bayar kos"", ""bayar kontrakan""]"
45;"obat";"Beban";"Kesehatan";"[""apotek"", ""dokter"", ""klinik"", ""rumah sakit"", ""bpjs""]"
46;"belanja";"Beban";"Belanja";"[""beli"", ""shopping"", ""toko"", ""supermarket"", ""indomaret"", ""alfamart""]"
50;"iuran rt";"Beban";"Iuran";"[""iuran warga"", ""iuran lingkungan"", ""iuran keamanan"", ""sumbangan RT"", ""iuran RW""]"
51;"bensin";"Beban";"Transportasi";"[""bbm"", ""pertalite"", ""pertamax"", ""solar"", ""isi bensin"", ""beli bensin""]"
52;laptop;Beban;Peralatan;"[""macbook"", ""komputer"", ""pc"", ""notebook"", ""leptop""]"
53;hp;Beban;Peralatan;"[""handphone"", ""smartphone"", ""iphone"", ""samsung"", ""gadget""]"
54;motor;Beban;Kendaraan;"[""mobil"", ""sepeda motor"", ""kendaraan"", ""vespa""]"
55;iuran;Beban;Iuran;"[""iuran rt"", ""iuran rw"", ""iuran warga"", ""sumbangan"", ""iuran keamanan""]"
56;donasi;Beban;Sosial;"[""sedekah"", ""zakat"", ""infaq"", ""sumbangan masjid"", ""amal""]"
57;cicilan;Beban;Cicilan;"[""angsuran"", ""kredit"", ""nyicil"", ""bayar cicilan""]"
58;top up;Beban;Lain-lain;"[""topup"", ""isi saldo"", ""top-up"", ""isi gopay"", ""isi ovo""]"
59;bimbel;Beban;Pendidikan;"[""les"", ""kursus"", ""sekolah"", ""spp"", ""ukt"", ""kuliah"", ""pendidikan""]"
